Wire,Diam,Color,Type,Code_no,Length,Connector_1,Port_1,Term_1,Seal_1,Wire_connection,Term_2,Seal_2,Connector_2,Port_2,Variant,Bundle,Loc_1,Loc_2,
2103.10,1.5,YE,litzed,761981,9112+L1+L2,108F_plug,8,1816055,2110833,108F_plug:8 to 6E:12,1683454,,6E,12,DH150 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2197.1,1.0,YE,litzed,761975,3615,P031.D,13,1745814,1623427,P031.D:13 to 107F_plug:7,1306010,1258968,107F_plug,7,BR15 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2247.3,1.0,YE,litzed,761975,5715,P071.P,11,1745814,1623427,P071.P:11 to C361:1,1428309,1450984,C361,1,DH35 DH36,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2248.3,1.0,YE,litzed,761975,5715,C362,1,1428309,1450984,C362:1 to P071.P:10,1745814,1623427,P071.P,10,DH35 DH36,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2249.2,1.0,YE,litzed,761975,9082+L1+L2,107F_plug,16,1306010,1258968,107F_plug:16 to 5CD:8,1676698,,5CD,8,DH68,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2677.1,1.0,YE,litzed,761975,3615,P031.D,1,1745814,1623427,P031.D:1 to 107F_plug:4,1745813,1623427,107F_plug,4,BR15 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2679.4,1.0,YE,litzed,761975,9082+L1+L2,107F_plug,9,1745813,1623427,107F_plug:9 to 6E:2,1676698,,6E,2,DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2679.14,1.0,YE,litzed,761975,8712+L1+L2+L3,L308.B,1,1745814,1623427,L308.B:1 to 5CD:1,1676698,,5CD,1,DH127,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3428.1,1.0,BU,litzed,761976,9082+L2+L1,6E,6,1676698,,6E:6 to 107F_plug:15,1306010,1258968,107F_plug,15,DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3503,1.0,BU,litzed,761976,800,P031.E,4,1745814,1623427,P031.E:4 to 158F_plug:4,1623425,1258968,158F_plug,4,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
